Date;AAPL;AMZN;GOOGL;META;MSFT
2023-05-02;-0.006191395453472248;0.015482549283793778;-0.017537288310984334;-0.016201938075843914;-0.0004909905491089495
2023-05-03;-0.006467364592504299;0.00019303553981586674;0.0008545762205274254;-0.009237613539221923;-0.0033069580191047443
2023-05-04;-0.009913408782439737;0.0033767339022539034;-0.006830482835491369;-0.014808229021273212;0.0033179302752353035
2023-05-05;0.04692691378665437;0.015961573674128537;0.008405742983055964;-0.003168916921998055;0.017157284575313403
2023-05-08;-0.0004033831647295427;0.0016089169321718;0.02083922472863331;0.0021050154469184346;-0.006438026325720436
2023-05-09;-0.00997109478682301;0.00746481056277859;-0.003897171587898818;0.0004286485312949839;-0.005345832728015143
2023-05-10;0.010420873636362904;0.03348339526223332;0.04098743910964853;-0.0012426331242249011;0.017296343099961975
2023-05-11;0.0010947335979276662;0.01805969525073481;0.04313198832057474;0.011626872463483373;-0.007044344107392075
2023-05-12;-0.00541757585561653;-0.01711533396079623;0.008063845276375936;-0.00839728480392432;-0.0036759880515069288
2023-05-15;-0.002897303205086854;0.008525256609829501;-0.0085099138951652;0.02159874729262712;0.0015858699945698884
2023-05-16;0.0;0.01978421437062372;0.02574886228645168;-0.00016743400330998526;0.007367615906245906
2023-05-17;0.0036031378564966854;0.018518504813616277;0.011128727118120851;0.015367214037318888;0.009451613705611761
2023-05-18;0.013666072384457717;0.022943736154795724;0.01646810289202305;0.017980125001376468;0.014394861257177372
2023-05-19;0.0006284583758924267;-0.01608126535201726;-0.0005698908554971904;-0.004901789280733371;-0.000565134919961352
2023-05-22;-0.005480815010302842;-0.010666648290490577;0.018654291916564647;0.010910307528209762;0.008921326894748116
2023-05-23;-0.01515493192468187;-0.00017393506729301844;-0.019912078627726704;-0.006362764918058983;-0.01843205860567576
2023-05-24;0.0016320523140229692;0.015305697616548875;-0.013544354322634788;0.010010542132258937;-0.0044724732151188995
2023-05-25;0.006692292966383739;-0.01498929336188437;0.021339965248076798;0.013964109119962709;0.03845784690663856
2023-05-26;0.014104844254227089;0.04443478791610045;0.009151257067523622;0.03700188378320868;0.02138567011563941
